Frame,Class,Class_ID,X,Y
58,Chou,25,461.0985,599.1606
58,Claude,64,110.7656,63.5243
58,Minotaur,18,271.1951,469.1085
58,Fanny,16,395.0099,594.025
58,Masha,87,630.4406,608.6956
58,Wanwan,88,27.8513,88.0628
59,Lapu-Lapu,36,613.4368,689.3808
59,Novaria,119,271.8018,413.4135
59,Valentina,110,351.4455,398.9516
59,Claude,64,111.0328,64.5831
59,Chou,25,461.2508,599.7288
59,Masha,87,629.2566,608.4074
59,Fanny,16,395.0565,595.6007
59,Minotaur,18,271.5899,469.4834
59,Wanwan,88,27.7871,87.915
60,Lapu-Lapu,36,613.7015,689.2098
60,Novaria,119,272.0909,413.4574
60,Claude,64,111.8209,65.3317
60,Valentina,110,351.5876,398.5605
60,Chou,25,461.2191,600.2176
60,Fanny,16,396.3095,596.6557
60,Masha,87,629.4386,608.545
60,Minotaur,18,272.1932,469.2737
60,Wanwan,88,27.8721,87.9292
61,Lapu-Lapu,36,613.8237,689.065
61,Novaria,119,272.4699,414.3665
61,Claude,64,112.2556,65.8877
61,Valentina,110,353.146,398.3077
61,Fanny,16,396.4171,596.8265
61,Minotaur,18,272.9681,469.4641
61,Masha,87,629.4895,608.5096
61,Chou,25,461.3569,601.2544
61,Wanwan,88,28.0695,87.4138
62,Lapu-Lapu,36,613.709,688.787
62,Novaria,119,272.6354,414.8284
62,Claude,64,112.1735,66.5417
62,Valentina,110,353.6293,397.486
62,Fanny,16,396.5433,597.8946
62,Masha,87,629.5751,608.669
62,Chou,25,461.8472,602.6979
62,Minotaur,18,273.4124,469.161
62,Wanwan,88,28.2087,87.2148
63,Novaria,119,272.6099,415.6311
63,Lapu-Lapu,36,612.7174,688.7032
63,Claude,64,112.8456,67.0892
63,Valentina,110,354.6082,397.249
63,Fanny,16,397.3576,598.6
63,Chou,25,461.7843,603.4143
63,Masha,87,629.6628,608.6176
63,Minotaur,18,273.6526,469.074
63,Wanwan,88,28.3019,87.28
64,Novaria,119,272.146,415.6747
64,Claude,64,113.2783,68.3557
64,Lapu-Lapu,36,612.0716,688.5237
64,Masha,87,629.5007,608.4073
64,Valentina,110,355.4022,396.9796
64,Chou,25,460.7463,604.2009
64,Fanny,16,397.3836,600.1388
64,Wanwan,88,28.3551,87.5482
64,Minotaur,18,273.5062,468.7298
65,Novaria,119,272.7304,416.8278
65,Lapu-Lapu,36,611.7531,688.1499
65,Masha,87,629.6866,608.5027
65,Claude,64,113.5641,69.1075
65,Valentina,110,356.1972,396.8822
65,Chou,25,460.3155,604.8879
65,Fanny,16,397.3957,601.1437
65,Wanwan,88,28.2565,87.4967
66,Novaria,119,273.7772,419.0159
66,Lapu-Lapu,36,610.2525,688.0405
66,Masha,87,629.1821,608.7681
66,Claude,64,114.8578,71.1143
66,Valentina,110,356.3143,397.0629
66,Chou,25,459.7635,605.1543
66,Fanny,16,396.1689,601.7559
66,Wanwan,88,28.0193,88.9011
67,Novaria,119,273.6846,419.2668
67,Lapu-Lapu,36,609.0635,688.5096
67,Masha,87,628.7327,609.2391
67,Claude,64,114.7664,71.126
67,Valentina,110,356.6451,397.1083
67,Chou,25,459.0096,605.5149
67,Fanny,16,395.4373,601.9777
67,Wanwan,88,27.8653,88.8222
68,Lapu-Lapu,36,608.6555,688.7592
68,Novaria,119,274.0425,421.7377
68,Masha,87,628.5236,610.1663
68,Claude,64,116.0727,71.4952
68,Valentina,110,357.8871,397.4137
68,Chou,25,457.439,606.3269
68,Fanny,16,395.006,603.5678
68,Wanwan,88,27.9223,88.9622
69,Lapu-Lapu,36,607.8505,688.9284
69,Novaria,119,273.9285,423.9154
69,Claude,64,116.7398,72.2175
69,Valentina,110,358.9713,397.228
69,Masha,87,628.1345,611.3028
69,Chou,25,456.5152,606.3333
69,Fanny,16,394.1743,604.4644
69,Wanwan,88,28.3872,89.0317
70,Lapu-Lapu,36,607.3942,689.2079
